"","YEAR","ABSTRACT","AUTHOR","name","last_name","gender_g","gender_ize","gender_jur","gender_final"
"13",2021,"paper explore effects language variants data sizes task types arabic language models build three language models across three variants arabic modern standard arabic msa dialectal arabic classical arabic addition fourth language model mix three also examine importance data size building additional models set msa variant compare different models well eight publicly available models five nlp tasks spanning datasets results suggest variant proximity data data important data size exploit insight defining optimized system selection model studied tasks","Orbach, Matan  and","Matan","Orbach","male","","","male"
"14",2021,"paper propose globally normalized model grammar cfg semantic parsing instead predicting probability model predicts score step suffer label bias problem experiments show approach outperforms locally normalized models small datasets yield improvement large dataset","Wang, Zhiguo  and","Zhiguo","Wang","","male","","male"
"15",2021,"modern natural language processing pipelines common practice pretrain generative language model large corpus text finetune created representations continuing train discriminative textual inference task however immediately clear whether logical meaning necessary model logical entailment captured language models paradigm examine recipe language models trained synthetic propositional language entailment task present results test sets probing models knowledge axioms first order logic","Nguyen, Hoang  and","Hoang","Nguyen","male","","","male"
"16",2021,"models become de facto standard field natural language processing nlp leveraging large unlabeled text corpora enable efficient transfer learning leading results numerous nlp tasks nevertheless low resource languages highly specialized tasks transformer models tend lag behind classical approaches svm lstm due lack aforementioned corpora paper focus legal domain introduce romanian bert model large specialized corpus model outperforms several strong baselines legal judgement prediction two different corpora consisting cases trials involving banks romania","Doan, Long  and","Long","Doan","male","","","male"
"17",2021,"paper proposes implementation wordnets five south african languages namely sepedi setswana tshivenda isizulu isixhosa added open multilingual wordnets omw natural language toolkit nltk african wordnets converted princeton wordnet pwn match synsets pwn conversion lemmas sepedi setswana tshivenda isizulu hosa respectively setswana isixhosa sepedi contains lemmas compared languages omw isizulu contains lemmas compared languages omw library published continuous development african wordnets omw using nltk","Becker, Maria  and","Maria","Becker","female","","","female"
"18",2021,"rapid growth online video streaming recent years seen increasing concerns profane language content detecting profane language streaming services challenging due long sentences appeared video recent research handling long sentences focused developing deep learning modeling techniques little work focused techniques improving data pipelines work develop data collection pipeline address long sequence texts integrate pipeline model pipeline experiments show model offers relative accuracy improvement distilbert model profane language detection requiring parameters research designs better system informing users profane language video streaming services","Yang, Jian  and","Jian","Yang","","male","","male"
"19",2021,"able parse cs utterances essential democratize semantic parsing systems certain locales work focus spanglish release dataset cstop containing cs utterances alongside semantic parses examine cs generalizability various xl models exhibit advantage xl language models data one language present focus improving models case english corpus alongside either zero cs training instances available propose two data augmentation methods settings using augment using generation model followed combining setting improvements decreases initial accuracy gap settings two thirds","Malon, Christopher","Christopher","Malon","male","","","male"
"20",2021,"much work transfer learning explored select better transfer languages multilingual tasks primarily focusing typological genealogical similarities languages hypothesize measures linguistic proximity enough working tasks sentiment analysis alternative introduce three linguistic features capture similarities manifest linguistic patterns quantify distinct aspects language pragmatics language figurative language lexification emotion concepts analyses show proposed pragmatic features capture similarities align well existing work sociolinguistics linguistic anthropology corroborate effectiveness transfer downstream task choosing transfer languages sentiment analysis","Saini, Rajkumar  and","Rajkumar","Saini","male","","","male"
"21",2021,"如何挖掘语言资源中丰富的复述模板 利用实体关系 通过自举迭代方式 从开放域获取复述模板 规避对平行语料或可比语料的依赖 但是该方法需人工给定实体对 实体关系受限 在迭代过程中语义会发生偏移 我们考虑知识库中包含描述特定语义关系的实体对 即关系三元组 将关系三元组与开放域文本对齐 获取关系对应文本 并将文本中语义丰富部分泛化成变量槽 获取关系模板 接着设计模板表示方法 本文利用预训练语言模型 在模板表示中融合变量槽语义 最后 根据获得的模板表示 设计自动聚类与筛选方法 实验结果表明 本文提出的方法实现了在开放域数据上复述模板的自动泛化与获取","Utescher, Ronja  and","Ronja","Utescher","female","","","female"
"22",2021,"依据各汉字学习优先级别的不同 实现了古籍汉字的等级划分 并将其与传统识字教材 三百千 提升古籍阅读能力","Nag Chowdhury, Sreyasi  and","Sreyasi","Chowdhury","","female","","female"
"23",2021,"新闻文本通常会涉及多个地域 主地域则描述了文本舆情内容的地域属性 的抽取准确率","Sileo, Damien","Damien","Sileo","male","","","male"
"24",2021,"语法纠错是自然语言处理领域的热门任务之一 本文从数据增强的角度出发 为了使模型能更好地获取不同类型和不同粒度的错误 本文首先对语法纠错中出现的错误进行了字和词粒度的分类 在此基础上提出了融合字词粒度噪声的数据增强方法 本文提出的融合字词粒度加噪方法能够显著提升模型的性能","Shevchenko, Violetta  and","Violetta","Shevchenko","female","","","female"
"25",2021,"采用正反向枢轴翻译的方法 生成了三种低资源语言到汉语的平行句对 采用词汇级的系统融合技术 将transformer模型和对偶学习模型翻译生成的目标语言译文进行融合 然后通过混淆神经网络进行词汇选择","McCarthy, Arya D.  and","Arya","McCarthy","","male","","male"
"26",2021,"机器翻译质量评估 qe 虽然不需要参考译文就能进行自动评估 通常包括两个阶段 首先借助大规模的平行语料学习双语对齐 由于大多数预训练模型是在多语言的单语数据集上构建的","Tian, Zuoyu  and","Zuoyu","Tian","","male","","male"
"27",2021,"导致模型无法利用不同粒度的特征 对此 提出融合多粒度特征的词嵌入表示 将三种粒度的词嵌入进行拼接 达到丰富语义信息的目的 使模型之间能相互共享知识 在宾州树库数据集上","Petit, Alban  and","Alban","Petit","male","","","male"
"28",2021,"新词的不断涌现是语言的自然规律 如在专业领域中新概念和实体名称代表了专业领域中某些共同特征集合的抽象概括 采用字符级别的自编码器和无监督自学习的方式进行预训练 可以有效提取语义信息 不受分词结果影响 适用于不同领域的文本 同时为了引入通用语言学知识 添加了先验句法分析结果 借助领域共享编码器融合语义和语法信息 以提升划分歧义词的准确性 采用对抗训练机制 以提取领域无关特征 结果显示本文模型优于其他现有方法 结合模型析构实验","Wisniewski, Guillaume  and","Guillaume","Wisniewski","male","","","male"
"29",2021,"软件源代码的理解则是软件协同开发与维护的核心 而源代码中占半数以上的标识符的理解则在软件理解中起到重要作用 本文首先总结梳理了常见主流编程语言中的命名规范并类比自然语言语素概念本文提出基于软件语素的标识符构成过程 本文提出一种结合自然语料库的软件标识符规范性评价方法 本文通过源代码理解数据集和乇乩乴乨乵乢平台中开源项目对规范性指标进行了验证性实验","Guibon, Ga{\""e}l  and","Gael","Guibon","male","","","male"
"30",2021,"自然语言处理领域各项任务中 从一个平面媒体语料库中筛选出性别无偏的句子 本文提出了一个可衡量预训练语言模型性别偏见程度的指标 中文预训练语言模型中存在不同程度的性别偏见","H{\""a}m{\""a}l{\""a}inen, Mika  and","Mika","inen","male","","","male"
"31",2021,"而用户生成的内容 如帖子 我们通过实际舆情传播相关的分析表明 在舆情传播过程中对用户属性进行研究的重要作用 提出了一种多质心图池化机制","Boros, Emanuela  and","Emanuela","Boros","female","","","female"
"32",2021,"时序关系识别是信息抽取领域的一个重要分支 时序关系分为三大类 事件对 间的时序关系 事件与时间表达式间 的时序关系 事件与文档建立时间 dense语料上的一系列实验表明","Saint-Joanis, Olena  and","Olena","Joanis","female","","","female"
"33",2021,"法律文本中包含的丰富信息可以通过结构化的实体关系三元组进行表示 也并未关注语法结构信息对文本表示的增强","Gosset, Camille  and","Camille","Gosset","female","","","female"
"34",2021,"命名实体识别是文学作品智能分析的基础性工作 当前文学领域命名实体识别的研究还较薄弱 本文提出融入篇章信息的命名实体识别模型 引入篇章字典保存汉字的历史状态","Holgado, Cristina  and","Cristina","Holgado","female","","","female"
"35",2021,"电子病历是医疗信息的重要来源 在调研了国内外已有的电子病历语料库的基础上 参考坉圲坂圲实体及关系分类 建立了糖尿病电子病历实体及实体关系分类体系 进行了实体及关系预标注及多轮人工校对工作 形成了糖尿病电子病历实体及关系标注语料库 diabetes electronic medical record entity related corpus demrc 并对语料库中的各类实体及关系进行评估","Popa, Diana Nicoleta  and","Diana","Popa","female","","","female"
"36",2021,"神经网络模型近些年在关系抽取任务上已经展示出了很好的效果 然而我们对于特征提取的过程所知甚少","Wang, Yizhe  and","Yizhe","Wang","","male","","male"
"37",2021,"未经整理的古代典籍不含任何标点 不符合当代人的阅读习惯 对于训练语言模型进行增量训练 本文改进了前人的串行滑动窗口方式 在一定程度上提高了句读效率 并提出一种新的并行滑动窗口方式","Montariol, Syrielle  and","Syrielle","Montariol","","female","","female"
"38",2021,"阅读分级的概念在二十世纪早期就被教育工作者提出 随着人们对阅读变得越来越重视 阅读分级引起了越来越多的关注 并结合实验结果梳理了三类方法存在的弊利","Bourgeade, Tom  and","Tom","Bourgeade","male","","","male"
"39",2021,"反问是现代汉语中一种常用的修辞手法 表现形式也十分复杂 接着针对隐式反问句的特点 上下文信息","Atmani, Massinissa  and","Massinissa","Atmani","","male","","male"
"40",2021,"目前的英语可读性研究主要针对第一语言学习和在英语环境下的英语学习 esl 我国学生在中文环境下学习英语 efl 该公式可按我国英语教学规划对英语文本进行可读性评测","Claveau, Vincent  and","Vincent","Claveau","male","","male","male"
"41",2021,"利用小句复合体中跨标点句话头札话体共享关系 来化简机器阅读理解任务的难度 在问题线索要素与答案跨越多个标点句时 答案抽取的精确匹配率 em","Ferret, Olivier","Olivier","Ferret","male","","male","male"
"42",2021,"视觉问答作为多模态任务 仅在图像和问题上进行简单推理难以得到正确的答案 事实上还有其它有效的信息可以被利用 基于协同注意力机制分别在图像和其描述上进行编码 并且利用知识图谱嵌入 将外部知识编码到模型当中 丰富了模型的特征表示 的准确率提升 的准确率提升","Padfield, Dirk  and","Dirk","Padfield","male","","","male"
"43",2021,"实体关系抽取旨在从文本中抽取出实体之间的语义关系 已经取得了一定的效果 用于实体关系抽取的对话语料规模较小 对话文本的有效特征难以捕获 通过融入高速网络进行信息桥接 并在此基础上融入交互信息和知识","Doi, Kosuke  and","Kosuke","Doi","male","","","male"
"44",2021,"意图识别和槽信息填充的联合模型将口语理解技术 spoken language understandingslu 提升到了一个新的水平 但是目前研究进展的模型通过话语上下文信息判断位置信息 缺少对槽信息标签之间位置信息的考虑 导致模型在槽位提取过程中容易发生边界错误 槽指称项 slot mentions 可能与正常表述话语并没有区别 模型容易受到槽指称项话语的干扰 slot filling bdsf 将位置信息引入到槽信息填充中 同时利用动态模版机制对话语句式建模 能够让模型聚焦于话语中的非槽指称项部分 避免了模型被槽指称项干扰 我们的模型优于比较模型","Karakanta, Alina  and","Alina","Karakanta","female","","","female"
"45",2021,"一般情况下 一个小句中只有一个动词 但是也有两个动词同时在一个小句中出现的情况 比如两个动词接连出现在同一小句中 尤其是在没有形式标记的情况下 本文将研究对象定位于直接作状语的动词 从大规模结构树库中抽取两个动词连用的情况 并对语料进行消歧 提取出作状语的动词后 进一步对其进行语义的细分类","Fukuda, Ryo  and","Ryo","Fukuda","","male","","male"
"46",2021,"作为一种意合型语言 汉语中的构词结构刻画了构词成分之间的组合关系 此前的构词结构识别工作大多沿用句法层面的粗粒度标签 且主要基于上下文等词间信息建模 构建汉语构词结构及相关信息数据集 同时 对比测试揭示 词内的语素义信息对构词结构识别具有显著的贡献 将为中文信息处理的多种任务","Ding, Liang  and","Liang","Ding","","male","","male"
"47",2021,"本文运用语料库和统计方法对汉语语体进行特征的计量研究 选取其中具有区分度的语言要素拟合逻辑回归模型 量化语体表达形式并观察特征对语体构成的重要性 以具有代表性的机器学习模型为分类器 的组合特征上 取得了最好的分类结果","Denisov, Pavel  and","Pavel","Denisov","male","","","male"
"48",2021,"探讨多模态语料库的加工标注 提出两种多模态语言计量方法 多模态值和多模态表征离散程度 教师能够借助多模态语言更好的传递抽象知识 计量结果能够反映模态之间的协同表述关系","Le, Hang  and","Hang","Le","","female","","female"
"49",2021,"句法和语义分析作为近年来自然语言处理的热点 对替换类的四个动词 替换 调换 代替 取代 所在的例句进行句法和语义层面的标注和统计 根据结果将它们的句法表现概括成不同的句法模式 替换类动词除了各自特有的句法结构外 会共同出现在 句法结构中 不同之处在于 取代 句法结构中占有一定的比例 调换 替换 还经常出现在 coo 本文对它们的语义依存进行了分析 而它们的不同之处在于 取代 的语义依存多为 当事 替换 的语义主体多为能动性较强的 施事 代替 调换","Zhang, Biao  and","Biao","Zhang","","male","","male"
"50",2021,"学术英语写作在国际学术交流中的作用日益凸显 然而对于英语非母语者 学术英语写作是困难的 中国学者可充分利用英语本族语者构建的资源库","Zhang, Linlin","Linlin","Zhang","","female","","female"
"51",2021,"文章使用erp技术 听力正常的汉语母语者加工汉语句子的情况 据此本文得出以下结论 首先 在语音掩蔽条件下 对于难度较大的语义加工 目标语音与掩蔽噪声在知觉层面的相似性并非主要影响因素 当言语噪声为听者极其熟悉或完全陌生的语言 其对语义加工的掩蔽干扰较小 而当掩蔽噪声为听者接触过的语言但不是母语或主要语言 不熟悉的言语噪声中所包含的出现频率较小但能够被听者理解的语义内容 与听者的预期相冲突 引发听者的注意转移 这些语义信息被传输至听觉中枢神经 占用了原本用于目标刺激的认知资源","Tang, Yun  and","Yun","Tang","","female","","female"
"52",2021,"本文提出了提出一种通用的表征增强方法","Liu, Danni  and","Danni","Liu","male","","","male"
"53",2021,"回避行为是人类重要的认知经验 己有对回避类动词的研究多为分析回避类动词的隐性否定语义和语篇博弈效果 利用依存语法的相关理论 基于大规模语料分析回避类动词的句法和语义特征","Nguyen, Tuan Nam  and","Tuan","Nguyen","male","","","male"
"54",2021,"文本校对评测集是拼写检查研究的基础 是一种常用的文本校对评测方式 结合藏文的特点研究了藏文文本校对评测集的构建方法 构建了用于评价藏文文本校对性能的标准文本校对评测集 并统计分析了评测集中的错误类型及分布","Murata, Julieta  and","Julieta","Murata","female","","","female"
"55",2021,"维吾尔语属于稀缺资源语言 如何在资源有限的情况下提升维吾尔语情感分类模型的性能 准确率 精确率 召回率 进行评估","Cal{\`o}, Eduardo  and","Eduardo","","male","","","male"
"56",2021,"由于语义资源有限 本文构建了一个规模较大的汉语动词隐喻数据集 本文提出的模型能够有效地应用于动词隐喻识别任务 识别效果超过了对比的无监督模型 并且 与其它用于隐喻识别的深度学习模型相比","Morale, Enza  and","Enza","Morale","female","","","female"
"57",2021,"相关研究指出 短查询通常具有歧义性 同一个查询可以指代不同的事物 搜索引擎需要对返回的结果进行多样化排序 并没有考虑到文档是否具有跟查询相关的有效信息 将全连接结构改为星型拓扑结构 该模型相对于基于全连接自注意力网络的多样化方法","Esperan{\c{c}}a-Rodier, Emmanuelle  and","Emmanuelle","Rodier","female","","","female"
"58",2021,"本文利用知网 hownet 中的知识 训练义原表示学习模型 发现本文提出的方法既高效又准确 不依赖大规模语料也不需要复杂的网络结构和繁多的参数","Remaud, Arthur","Arthur","Remaud","male","","","male"
"59",2021,"古汉语以单音节词为主 其一词多义现象十分突出 本研究基于传统辞书和语料库反映的语言事实 设计了针对古汉语多义词的词义划分原则 并对常用古汉语单音节词进行词义级别的知识整理 基于该语料库和bert语言模型 本文以词义历时演变分析和义族归纳为案例","Kaczmarek, Marion  and","Marion","Kaczmarek","female","","","female"
"60",2021,"缺少多任务标签训练数据 将分词和词性信息融入命名实体识别模型 使三种任务联合训练 建立基于标签一致性机制的多任务学习模式","Bazoge, Adrien","Adrien","Bazoge","male","","","male"
"61",2021,"中国古代诗歌是人类文化的瑰宝 其短小精悍的语言却能表达出极其丰富的含义和主题 基于bpe算法 按照共现频率对古诗集进行分词 以便于下游任务对古诗的语义进行更准确的理解 我们还将分词后的古诗语料利用隐狄利克雷分配 lda 我们还对语料中的绝句和律诗逐句套用了主题模型 得到了一首诗内部的主题转移矩阵 我们利用了简单的控制码方法将主题模型嵌入到诗歌生成模型中 实现了主题可控的诗歌生成","Espasa, K{\'e}vin","Kevin","Espasa","male","","","male"
"62",2021,"幽默在人类交流中扮演着重要角色 punchline 是情景喜剧实现幽默效果的形式之一 在情景喜剧笑点识别任务中 每条句子的标签代表该句是否为笑点 但是以往的笑点识别工作通常只通过建模上下文语义关系识别笑点 本文提出了一种新的识别方法 该模型在两方面进行了改进 首先将标签序列中相邻两个标签之间的转移关系看作幽默理论中不一致性的一种体现 并使用条件随机场学习这种转移关系 其次由于学习相邻标签之间的转移关系以及上下文语义关系均能够学习到铺垫和笑点之间的不一致性 两者之间存在相关性 为了使模型通过利用这种相关性提高笑点识别的效果 该模型引入了多任务学习方法 小牛杯 幽默计算 情景喜剧笑点识别评测任务的英文数据集上进行实验 结果表明 在情景喜剧幽默笑点识别任务上取得了最好的效果","Belkacem, Thiziri  and","Thiziri","Belkacem","","female","","female"
"63",2021,"为了编码更细粒度的藏文文本信息 本文将音节和词相结合进行词表示 然后采用词级注意力机制去关注文本中的关键词 采用重读机制去捕捉文章和问题之间的语义信息 采用自注意力机制去匹配问题与答案的隐变量本身 实验结果表明","Grouin, Cyril  and","Cyril","Grouin","male","","male","male"
"64",2021,"欺骗是一种常见的社会现象 欺骗 欺骗 类动词在句中作为从属词时 可作为不同的句法成分和语义角色 欺骗 类动词 承担不同句法功能时 欺骗 类动词的句法语义虽具有多样性 但主要的句型为主谓宾句式 而该句式中最常用的语义搭配模式是施事对涉事进行欺骗行为 融合定量统计和定性分析探究欺骗类动词的句法语义","Jo, Yong Rae  and","Yong","Jo","male","","","male"
"65",2021,"机器阅读理解是通过算法让机器根据给定的上下文回答问题 相关算法模型在大多数流行的英语数据集上都取得了显著的成绩 由于缺乏相应的数据集 人工构建了藏语机器阅读理解数据集 tibetanqa 均采用严格的流程以确保数据的质量 本文初步探索了三种经典的英语阅读理解模型在tibetanqa数据集上的表现 其结果难以媲美人类","Bailly, Alexandre  and","Alexandre","Bailly","male","","","male"
"66",2021,"以往的介词知识库构建重视介词语义和介宾的搭配研究 充分借助短语结构属性和结构信息","G{\'a}llego, Gerard I.  and","Gerard","llego","male","","","male"
"67",2021,"同时 很少有工作严格对比不同标注方法 以依存句法数据标注为案例","Inaguma, Hirofumi  and","Hirofumi","Inaguma","male","","","male"
"68",2021,"意图识别和槽信息填充的联合模型将口语理解技术 spoken language understanding 提升到了一个新的水平 但由于存在出现频率低或未见过的槽指称项 shot slot mentions 模型的序列标注性能受限 由于中文话语是一串字序列组成 输入话语的字和槽信息是一一对应的 本文提出了一种基于字模型的依赖引导槽填充模型 dependency guided slot filling model dcsf 提供了一种简洁的方法解决将词级依赖树结构引入中文字特征模型的冲突 同时通过对话语中词汇内部关系进行建模 我们的模型优于比较模型","Xu, Chen  and","Chen","Xu","","male","","male"
"69",2021,"随着人工智能的发展 道德自动识别作为研究分析文本中的道德的一项重要任务 目前面向中文的道德识别研究开展缓慢 本文在中文语料上进行了中文道德句的标注工作 我们还探索了利用额外知识辅助的方法","Papi, Sara  and","Sara","Papi","female","","","female"
"70",2021,"知识图谱问题生成模型主要使用基于rnn或transformer对知识图谱子图进行编码 但这种方式丢失了显式的图结构化信息 获取子图显式的图结构化信息 此外 我们还使用滑动窗口注意力机制提高rnn解码器","Vydana, hari Krishna  and","hari","Vydana","","male","","male"
"71",2021,"动名超常搭配由于一般带有成分的省略或隐喻 依托西方生成词库理论的思想构建一套专门的汉语词项描述体系 这一知识表示体系可以较为清晰的还原因省略或隐喻而造成的非常规搭配","Bahar, Parnia  and","Parnia","Bahar","","female","","female"
"72",2021,"中文分词是自然语言处理领域的基础工作 然而前人的医学文本分词工作都只是直接套用通用分词的方法","Sen, Sukanta  and","Sukanta","Sen","","male","","male"
"73",2021,"连动句是形如 的句子 句中含有两个或两个以上的动词 或动词结构 标注了连动句语义关系数据集 基于bert进行编码 vp 及其主语 np 再基于融合连动词信息的编码","Fukuda, Ryo  and","Ryo","Fukuda","","male","","male"
"74",2021,"以避免中文分词及词性标注的错误传递 获取面向目标任务的字符向量表示 并引入掩码机制对模型隐藏离用法中分离的词语 减轻词语本身对识别结果的影响 强化中间插入成分的学习 并对前后语素采用不同的掩码以强调其出现顺序 将原始的句子表达与采用掩码的句子表达分别输入两个不同参数的bilstm层进行训练 mask","Liu, Dan  and","Dan","Liu","male","","","male"
"75",2021,"先秦汉语在汉语史研究上具有重要地位 然而以往的研究始终没有形成结构化的先秦词汇资源 wordnet 的义类架构为基础 已经建立了数十种语言的词网 特别是古代语言的词网和汉语词网 然后详细介绍了先秦词网的构建和校正过程 尝试分析这两种古老语言在词汇上的共性和差异","Anastasopoulos, Antonios  and","Antonios","Anastasopoulos","male","","","male"
"76",2021,"口语理解是自然语言处理的一个重要内容 通过一个关联网络使得两个任务建立直接联系 共享信息","Dupont, Yoann  and","Yoann","Dupont","male","","","male"
"77",2021,"本文筛选了汉语 偷抢 类动词的单句 并借助依存语法的标注体系对 偷抢 当汉语 偷抢 类动词为从属词时 偷抢 类动词为支配词时 该类动词的句法依存随其不同的句法功能而发生变化 从该类动词的语义依存来看 其客体语义密度整体低于主体语义密度 最常见的情境角色是地点和时间 在事件关系中 偷抢 类动词的句法语义特点丰富 主要的句型为主谓宾句式 深化了对汉语 偷抢","Boumedyen Billami, Mokhtar  and","Mokhtar","Billami","male","","","male"
"78",2021,"当前基于深度学习的事件检测模型都依赖足够数量的标注数据 表达相同观点但语言不同的句子通常有相同或相似的语义成分 这一多语言一致性特征 然后使用图卷积网络融入越南语依存句法信息","Suignard, Philippe  and","Philippe","Suignard","male","","","male"
"79",2021,"端到端语音翻译将源语言语音直接翻译为目标语言文本 它需要 作为训练数据 然而这类数据极其稀缺 本文提出了一种多层次预训练策略和多任务学习相结合的训练方法 首先分别对语音识别和机器翻译模型的各个模块进行多层次预训练 接着将语音识别和机器翻译模型连接起来构成语音翻译模型 然后使用迁移学习对预训练好的模型进行多步骤微调 在此过程中又运用多任务学习的方法 将语音识别作为语音翻译的一个辅助任务来组织训练 充分利用了已经存在的各种不同形式的数据来训练端到端模型 首次将端到端技术应用于资源受限条件下的蒙汉语音翻译","Wang, Xiaoou  and","Xiaoou","Wang","","male","","male"
"80",2021,"神经机器翻译 nmt 通常采用多层神经网络模型结构 随着网络层数的加深 所得到的特征也越来越抽象 但是在现有的神经机器翻译模型中 本文提出了层间知识蒸馏 目的在于将高层网络的抽象知识迁移到低层网络 使低层网络能够捕捉更加有用的信息 结果证明层间蒸馏方法能够有效提升翻译性能","Mannion, Aidan  and","Aidan","Mannion","male","","","male"
"81",2021,"由于缅甸语存在特殊的字符组合结构 在图像文本识别研究方面存在较大的困难 本文提出一种融合多层语义特征图的缅甸语图像文本识别方法 利用深度卷积网络获得多层图像特征并对其融合获取多层语义信息 在训练阶段采用mix up的策略进行网络参数优化 提高模型的泛化能力","Hiot, Nicolas  and","Nicolas","Hiot","male","","","male"
"82",2021,"知识图谱表示学习是自然语言处理的一项关键技术 而低资源语言的知识图谱表示学习研究还处于探索阶段 提出了一种联合胶囊神经网络 jcapsr 采用jcapsr进一步提取三元组在知识图谱语义空间中的关系 将实体文本描述信息和结构化信息融合 相比基线系统 联合胶囊神经网络jcapsr模型提高了藏语知识图谱表示学习的效果","Poulain, Timoth{\'e}e  and","Timothee","Poulain","","male","","male"
"83",2021,"新闻事件要素抽取旨在抽取新闻文本中描述主题事件的事件要素","G{\'e}rardin, Christel  and","Christel","rardin","female","","","female"
"84",2021,"common mistake made language learners misguided usage first language rules communicating another language paper recurrent neural network language models used represent language structures detect chinese native speakers incorrectly transfer rules first language chinese english writing models make possible inform corrective error feedback error causes negative language transfer report results negative language detection experiments recurrent neural network models trained using tags best performing model achieves tasked recognizing negative language transfer english learner data","Sun, Zewei  and","Zewei","Sun","","male","","male"
"85",2021,"describe experiments language modeling written variants nahuatl using standard lstm model publicly available bible translations explore character language models applied tasks estimating mutual intelligibility identifying genetic similarity distinguishing written variants demonstrate simple language models able capture similarities differences described linguistic literature","You, Chenyu  and","Chenyu","You","","male","","male"
"86",2021,"paper addresses problem sentiment analysis jopara language guarani spanish first collect corpus tweets discuss difficulties finding quality data even relatively tasks sentiment analysis train set neural models including language models explore whether perform better traditional machine learning ones setup transformer architectures obtain best results despite considering guarani traditional machine learning models perform close due nature problem","Chen, Hong  and","Hong","Chen","","male","","male"
"87",2021,"alta shared task instance series shared tasks organised alta since motivated advances machine learning last years year task alta shared task set within framework evidence based medicine ebm goal predict clinical evidence present set documents year participant results didnot improve participants","Huang, ZiXian  and","ZiXian","Huang","","male","","male"
